Paper,Conference,Edition,Year
Optimization techniques for human computation-enabled data processing systems.,I4CS ,6,2023
Geoprocessamento na determinação da capacidade e avaliação do uso da terra do município de Botucatu - SP.,IJCSIT ,2,2019
The Hospital Information System of the Unified Health System (SIH-SUS): contribution to the study of maternal mortality in Brazil (Sistema de Informações Hospitalares do Sistema Único de Saúde (SIH-SUS): contribuição para o estudo da mortalidade materna no Brasil).,IEEE-Ei/Scopus-CTISC ,8,2019
Método de Elementos Finitos Enriquecidos para uma Classe de Problemas Elípticos Não Lineares com Coeficientes Altamente Oscilatórios.,EH ,19,2023
InGaAs Quantum-Well MOSFETs for logic applications.,IJASA ,8,2022
Controle neural de posição e força em manipuladores robóticos.,ACIJ,4,2017
Uma análise das manifestações docentes sobre o uso das tecnologias da informação e comunicação nas escolas públicas de nível médio da cidade de Taquaritinga-SP.,TSP ,5,2018
O papel do esterçamento computacional nas atividades de engenharia espacial assistidas por modelagem e simulação de sistemas.,Asia-Pacific Regional Conference on Service-Learning,20,2021
Finite Element Modeling of Dislocation Multiplication in Silicon Carbide Crystals Grown by Physical Vapor Transport Method.,IJNSA ,15,2020
Silicon-photonics for very large scale integrated systems.,IDC ,14,2017
Chip-scale modeling of pattern dependencies in copper chemical mechanical polishing processes.,CoNeCo ,17,2022
Multi-band excitation vocoder.,EI/Scopus--DMBDA ,18,2017
Fundamental issues of multiple accessing.,CSITEC ,16,2017
Importance sampling for reinforcement learning with multiple objectives.,"IEEE--ICVR--Ei Compendex, Scopus ",14,2021
AnimaçãO 3D EM Tempo Real com anáLises harmôNicas E Modal.,Native American Literature Symposium,14,2017
Design and characterization of Si/SiGe heterostructure sub-100 nm bulk p-MOSFET.,"IEEE--CCAI--EI Compendex, Scopus ",3,2019
Solução de problemas de otimização linear por redes neurais associadas a metodos de pontos interiores.,ACM--AITC--Ei and Scopus ,12,2020
Comunicação em redes locais de computadores para controle distribuido de processos.,International Congress of Quantum Chemistry,17,2018
Electrofluidized beds in the control of fly ash.,SEAS,4,2017
Word boundary detection using landmarks: a survey of consonants.,NLPA ,3,2021
Um esquema de Assimilação de dados Oceanográficos para o Modelo Oceânico HYCOM ao largo da Costa Sudeste Brasileira.,NEATCLasS ,7,2020
"Bioethics, knowledge construction and e-learning: new challenges to the Bioethics teaching (Bioética, construção de conhecimento e e-learning: novos desafios ao ensino da Bioética).",IPPR ,18,2019
Use of projector-camera system for human-computer interaction.,New Ways of Analyzing Variation,9,2020
Infografia na educação: contribuições para o pensar crítico e criativo.,IEEE-EI/Scopus-ITCC ,6,2021
Computer vision syndrome and visual function in computer users workers of a public university hospital in São Paulo: prevalence and associated factors (Síndrome da visão do computador e função visual em trabalhadores usuários de computador de um hospital público universitário de São Paulo: prevalência e fatores associados).,Association for Laboratory Phonology,4,2021
Predição da estrutura de proteínas off-lattice usando evolução diferencial multiobjetivo adaptativa.,The Aging Symposium,8,2018
Um metodo de compressão de audio baseado na codificação de Subbandas Wavelets.,IADSDTP ,10,2018
Performance and control of CSMA wireless networks.,CSITA ,13,2017
Implicações políticas das relações de amizades mediadas pela internet.,Americas Conference on Information Systems,2,2021
Optical soliton propagation and control.,"IEEE--CCAI--EI Compendex, Scopus ",4,2021
A scientific computing collaborative virtual environment for advanced analysis of time series.,ICCCV--Ei and Scopus,9,2021
ASDA: an automatic distributed simulation environment.,International Congress of Quantum Chemistry,1,2019
"Biomulsifier production process by Candida lipolytica: optmization, scale-up and development of artificial neural network based softsensor.",ICDT ,11,2018
O conhecimento da marca nas organizações: modelo de aplicação da linguagem publicitária na intranet - PUBLIMARCA.,"CCAT--Ei, Scopus ",7,2018
Machine Learning Algorithms with Big Medicare Fraud Data.,ICDT ,16,2020
1/f noise in MOSFETs with ultrathin gate dielectrics.,IJGTT ,7,2017
Os riscos da terceirização da TI e da adoção de novas TIs e suas relações com os riscos para as estratégias competitivas das organizações.,DTMN ,13,2021
The development of components for ultrafast all-optical communication networks.,Nobel Conference,18,2023
Dimensionamento de lotes com preservação da preparação total e parcial.,International Congress of Actuaries,5,2022
A Novel Approach Of Independent Brain-computer Interface Based On SSVEP.,New Ways of Analyzing Variation,17,2018
Uma arquitetura ágil da informação organizacional.,Nobel Conference,16,2021
Sobre o projeto automático de algoritmos de indução de árvores de decisão.,IJPS ,19,2018
The power of randomized algorithms: from numerical linear algebra to biological systems.,EDU ,14,2023
Which Way is It? Spatial Navigation and the Genetics of Head Direction Cells.,ARIN ,12,2018
Applying fault models in complete test suite generation from Input/Output Transition Systems.,"WSEA--Ei Compendex, Scopus ",14,2017
Monte Carlo simulation methods to approximate hedging strategies.,IEIJ ,14,2017
Acoustic Tonal and Vector Properties of Red Hind Grouper Vocalizations.,NLPI ,13,2017
Succinct non-Interactive arguments.,SP ,12,2020
Computer assisted language learning: a study of online proposed activities for teaching comprehension and oral production in English (Ensino de línguas mediado por computador: um estudo das propostas de atividades online para o ensino da compreensão e produção oral em língua inglesa).,CSEIJ ,20,2023
Algoritmos heuristicos e exatos para resolução do problema de sequenciamento em processadores paralelos.,CSEA ,5,2020
A disposição para revelar informações pessoais a sistemas de recomendação: um estudo experimental.,IJITMC ,17,2020
Seleção distribuída de recursos em grades computacionais usando raciocínio baseado em casos e políticas de granularidade fina.,BDAP ,6,2018
Hybrid heuristics for berth allocation problem for ships and a clustering problem.,ICT ,17,2019
Combinação de modelos de balanço hídrico no solo e sensoriamento remoto para o monitoramento de áreas irrigadas.,BDAP ,3,2020
Polled analysis of admitance exams at Universidade Federal de Lavras using item response theory.,Native American Literature Symposium,1,2020
A naturalistic study of computer-mediated communication: Emergent communication patterns in online electronic messaging systems.,"IEEE--ICVR--Ei Compendex, Scopus ",18,2017
Elucidating the mechanisms behind pre-breakdown phenomena in transformer oil systems.,IJMIT ,5,2023
Processo de pré-autoria de atividades de aprendizagem com uso de jogos e cooperação.,CSITEC ,2,2019
CellDB: an architecture ti support enviromental modeling problems in large scale.,CD-MAKE ,13,2019
Silicon micromachined wafer-bonded valves.,"NLPAI--Ei Compendex, Scopus ",11,2019
Metodologia de obtenção de resultados em fluido-dinamica computacional: aplicação a reatores tanques agitados.,IJNGN ,20,2019
Uma abordagem para a modelagem de sistemas digitais.,RuhrSec ,16,2021
Éléments du succés pour la formation du partenariat stratégique dans la sous-traitance en technologie d'information: cas de la contratation d'un systéme ERP bancaire international.,Sp.issue LNLM - CI & Electrical Systems ,13,2023
Acquisition and modeling of material appearance.,DMDBS ,19,2022
Aplicação de redes neurais em análise de viabilidade econômica de co-geração de energia elétrica.,"CCAT--Ei, Scopus ",20,2021
Mecanismos de HARQ usando códigos LDPC com retransmissão parcial e combinação por diversidade.,IHCI ,19,2018
Towards anonymous and metadata private communication at Internet scale.,EAMM ,11,2017
Modern challenges in distribution testing.,"IEEE SEAI--EI Compendex, Scopus",16,2019
Conflitos entre usuários e desenvolvedores de soluções informatizadas.,AIAD ,17,2021
Giving emotional contagion ability to virtual agents in Crowds.,AIAD ,3,2019
In-situ prediction on sensor networks using distributed multiple linear regression models.,NC ,9,2019
Análise da aplicabilidade das regras de ouro ao tuning de sistemas gerenciadores de bancos de dados relacionais em ambientes de computação em nuvem.,AVC ,20,2021
Desenho e redesedenho de um curso instrumental de inglês mediado pela construção de um sete:uma experiência com tecnologia.,SEC ,11,2019
"Summarizing multiprocessor program execution with versatile, microarchitecture-independent snapshots.",NLCA ,19,2018
Queueing network with server choice.,IJGCA ,10,2018
Theoretical and experimental studies of a 17 GHz photocathode RF gun.,IEEE-EI/Scopus-ITCC ,17,2022
Forensic toxicology and public health: development and evaluation of a system of information as potential tool for the vigilance and monitoring of resulting appeals of the utilization of chemical substances.,BDAP ,9,2019
Optimal search in an ordered array.,NEATCLasS ,14,2022
Modelo organizacional de ensino a distancia para instituicoes tecnologicas.,MLNLP ,7,2023
SPIRE algorithms.,Sp.issue LNLM - CI & Electrical Systems ,5,2023
Cyber-ARGUS framework - measuring cyber-impact on the mission.,"ACM--VRIP--EI, Scopus ",10,2018
As transformações da relação museu e público: a influência das tecnologias da informação e comunicação no desenvolvimento de um público virtual.,"ICCEE--Ei Compendex, Scopus ",12,2022
"Intelligent transportation systems leveraging next-generation mobile devices, sensors, and networks.",ACSIT ,18,2019
"Múltiplas interlocuções da informação no campo da Ciência da Informação no âmbito dos fundamentos técnico-pragmáticos, humanos e científicos.",MIET ,15,2021
Discurso sobre fundamentos de arquitetura da informação.,dsaa ,6,2017
Modeling the effects of systematic process variation of circuit performance.,IJPS ,10,2022
Analysis and transfer of photographic viewpoint and appearance.,DTMN ,7,2021
Melodic photography: relations and intevalic calculations.,IJITMC ,11,2018
Linguistically-motivated sub-word modeling with applications to speech recognition.,NLPD ,16,2019
Sub-femtosecond optical timing distribution for next-generation light sources.,"ACCC--Ei Compendex, Scopus ",13,2020
