paper,keywords,topics
Gestão arquivística na era do cinema digital: formação de acervos de documentos digitais provindos da prática cinematográfica.,arquivística:acervos:documentos,Other Computer Science
Elaboração de procedimento avaliativo-terapêutico computadorizado para escolares com dificuldades de aprendizagem.,procedimento:dificuldades:computadorizado,Distributed Parallel and Cluster Computing
"Aspectos lógicos, semânticos e de apresenetação na interação do usuário com os sistemas digitais.","apresenetação:digitais.:lógicos,",Graphics
Aplicação de tecnicas estatisticas multivariadas e de redes neurais na modelagem de um sistema de tratamento de efluentes industriais.,tratamento:multivariadas, Computational Geometry
Propriedades físicas de um cambissolo submetido à calagem usando espectroscopia de fluorescência e microtomografia de raios X.,microtomografia:calagem:espectroscopia,Discrete Mathematics
User interfaces supporting casual data-centric interactions on the Web.,casual:user,Computers and Society
Decentralized Supervisionin Systems Pperformace Models: an Approach for Decision Markovian Pprocesses.,models::approach,Symbolic Computation
Continuous improvement applied to standardized typology of buildings: knowledge management in the context of the asset portfolio (Melhoria contínua aplicada a edificações de tipologia padronizada: a gestão do conhecimento no contexto do portfólio de ativos de uma organização).,aplicada:standardized:tipologia,Computation and Language
"Consolidação do processo de informatização em Sistemas de Bibliotecas Universitárias na África do Sul, Brasil e Moçambique.",informatização:bibliotecas,Social and Information Networks
Controle com adaptação em modo dual utilizando uma rede RBF.,rede:rbf.,Data Structures and Algorithms
Tracking dynamic regions of texture and shape.,regions:texture:tracking,Networking and Internet Architecture
The bias-stress effect in pentacene organic thin-film transistors.,organic:thin-film:pentacene,Computers and Society
A bandwidth-efficient architecture for a streaming media processor.,architecture:bandwidth-efficient,Social and Information Networks
Cálculo de propriedades de sistemas termoquímicos multifásicos desenvolvimento de sistema.,propriedades:termoquímicos:cálculo,Sound
Arquiteturas Cross-layer para Redes de Sensores sem Fio.,sensores:fio.,Information Theory
Approximate solutions for multi-server queuing systems with Erlangian service times and an application to air traffic management.,service:erlangian:solutions,Mathematical Software
Codigos convolucionais quanticos concatenados.,concatenados.:codigos,Hardware Architecture
Benchmark methodology for non-stationary performance evaluation: a case study based on cloud computing applications (Metodologia de benchmark para avaliação de desempenho não-estacionária: um estudo de caso baseado em aplicações de computação em nuvem).,aplicações:evaluation::baseado,Human-Computer Interaction
Learning with Mixtures of Trees.,mixtures:learning,Computational Complexity
Software instruction caching.,software:caching.,Operating Systems
Design computacional: comunicação do in-visível.,computacional::design,Distributed Parallel and Cluster Computing
Information theoretic aspects of the control and the mode estimation of stochastic systems.,control:estimation,Social and Information Networks
A differential approach to undefined behavior detection.,behavior:differential,Computational Engineering Finance and Science
Uma estratégia para assegurar a confidencialidade de dados armazenados em nuvem.,armazenados:estratégia:assegurar,Emerging Technologies
Evolutionary approaches toward practical network coding.,approaches:coding.,Other Computer Science
A dimensão discursiva da organização do conhecimento na Ciência da Informação brasileira.,organização:discursiva,Cryptography and Security
Differential and Integral calculus: from the technique to humans-with-media (Ensino de cálculo diferencial e integral: das técnicas ao humans-with-media).,cálculo:integral:diferencial,Robotics
Bayesian approach for the nonlinear regressian models used in forest biometrics.,bayesian:nonlinear:biometrics.,Programming Languages
"Capture and access in the production, distribution, presentation and extension of multimedia content (Captura e acesso na produção, distribuição, apresentação e extensão de conteúdo multimídia).","distribution,:apresentação:production,",Computer Vision and Pattern Recognition
Fatores de influência no uso de sistemas de informação via internet: proposta de um modelo integrativo.,modelo:via:integrativo.,Other Computer Science
Minimum description complexity.,minimum:complexity.,Data Structures and Algorithms
Surface reflectance recognition and real-world illumination statistics.,statistics.:illumination,Graphics
Formulations and algorithms for network design problems with connectivity requirements.,requirements.:algorithms,Information Theory
Modelo de orçamento participativo digital no contexto da cidade digital estratégica.,contexto:orçamento:estratégica.,Information Theory
Dinâmicas de Opinião em Redes Complexas.,dinâmicas:complexas.,Computational Engineering Finance and Science
Understanding and predicting where people look in images.,predicting:look,Digital Libraries
Atitude e intenção de uso em sistemas hedônicos: três estudos sobre motivação intrínseca com jogos digitais.,jogos:intrínseca:uso,Machine Learning
A contribution to the processes of project management through knowledge management (Uma contribuição para os processos da gerência de projetos através da gerência do conhecimento).,projetos:gerência,Computers and Society
Geocoding methodologies of health data (Metodologias de geocodificação dos dados da saúde).,saúde).:health:data,Machine Learning
Study on transformation-based invisibility cloaks.,invisibility:cloaks.:study,Performance
Metodo para gestão da qualidade em implementações de sistemas integrados de gestão de recursos.,qualidade:recursos.:sistemas,Artificial Intelligence
Questões conceituais de computabilidade.,questões:computabilidade.,Computer Vision and Pattern Recognition
Anomaly detection algorithms in logs of business process aware systems (Algoritmos de Detecção de Anomalias em Logs de Sistemas Baseados em Processos de Negócios).,aware:systems,Discrete Mathematics
A Contribution for the Development and Modeling Process of Educational Modules.,development:modeling,Formal Languages and Automata Theory
Quantitative analysis of cerebral white matter anatomy from diffusion MRI.,anatomy:quantitative:cerebral,Computers and Society
Adoption of technological innovations: a study about the use of information systems in the health area (Adoção de inovações tecnológicas: um estudo sobre o uso de sistemas de informação na área de saúde).,inovações:sistemas,Information Theory
Inertio-elastic focusing of bioparticles in a microchannel at ultra-high throughput.,microchannel:throughput.,Symbolic Computation
